objectid,filename,title,creator,publisherpublication,place,date,description,subject,page,vol-issue,latitude,longitude,collection,identifier,format-original,type,format,language,rights,rightsstatement
josephy0012,https://josephylibrary.blogspot.com/2018/09/the-hearingsand-listenings.html,The hearings and the listenings,Rich Wandschneider,Rich Wandschneider,,2018-09-28,"Blog entry from September 28, 2018",McCarthy hearings;Supreme Court;Kavanaugh;Standing Rock;Christine Blasey Ford;Cory Booker,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/09/the-hearingsand-listenings.html,blog post,record,url,eng,,
josephy0013,https://josephylibrary.blogspot.com/2018/09/fire-and-another-failure-to-listen-to.html,Fire—and another failure to listen to Indians,Rich Wandschneider,Rich Wandschneider,,2018-09-10,"Blog entry from September 10, 2018",Forest fire;Indians and fire;salmon hatcheries;Indians and salmon;10 o'clock policy;intentional burning;Columbia River;US Forest Service,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/09/fire-and-another-failure-to-listen-to.html,blog post,record,url,eng,,
josephy0014,https://josephylibrary.blogspot.com/2018/08/built-on-broken-families.html,Built on Broken Families,Rich Wandschneider,Rich Wandschneider,,2018-08-22,"Blog entry from August 22, 2018",Braceros;picture brides;indentured servants;Dawes Act;Chinese railroad workers;Termination;Indian boarding schools;slave markets;slavery;Indian Relocation;,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/08/built-on-broken-families.html,blog post,record,url,eng,,
josephy0015,https://josephylibrary.blogspot.com/2018/08/indian-church.html,Indian Church,Rich Wandschneider,Rich Wandschneider,,2018-08-03,"Blog entry from August 3, 2018",wallowa homeland;Indian religious freedom act;General Howard;seven drums;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/08/indian-church.html,blog post,record,url,eng,,
josephy0016,https://josephylibrary.blogspot.com/2018/07/forked-tongues.html,Forked tongues,Rich Wandschneider,Rich Wandschneider,,2018-07-12,"Blog entry from July 12, 2018",Alvin Josephy;forked tongue;Doug Hyde;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/07/forked-tongues.html,blog post,record,url,eng,,
josephy0017,https://josephylibrary.blogspot.com/2018/07/writing-on-stolen-land.html,Writing on stolen land,Rich Wandschneider,Rich Wandschneider,,2018-07-02,"Blog entry from July 2, 2018",Luis Urrea;Bette Husted;Marv Ross;Pamela Steele;Thomas Morning Owl;Paulette Jiles;Museum of the American Indian,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/07/writing-on-stolen-land.html,blog post,record,url,eng,,
josephy0018,https://josephylibrary.blogspot.com/2018/06/lessons-from-nez-perce-elder.html,Lessons from a Nez Perce elder,Rich Wandschneider,Rich Wandschneider,,2018-06-21,"Blog entry from June 21, 2018",William o. Douglas;Silas Whtiman;Nez Perce Dam;Snake River;Hells Canyon Preservation Council;BIA;High Mountain Sheep Dam,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/06/lessons-from-nez-perce-elder.html,blog post,record,url,eng,,
josephy0019,https://josephylibrary.blogspot.com/2018/06/a-good-library-day-and-salmon-stories.html,A good library day—and salmon stories,Rich Wandschneider,Rich Wandschneider,,2018-06-18,"Blog entry from June 18, 2018",Tamastslikt;Celilo Falls;Julie Kooch;Ghosts of Celilo;Bobbie Conner;Native Fish Society,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/06/a-good-library-day-and-salmon-stories.html,blog post,record,url,eng,,
josephy0020,https://josephylibrary.blogspot.com/2018/05/dams-fish-controversy-june-events.html,"Dams, Fish, Controversy—June events!",Rich Wandschneider,Rich Wandschneider,,2018-05-29,"Blog entry from May 29, 2018",Arts Build Communities;Tamastslikt;Josephy Center;Wallowa Lake;Bobbie Conner;sockeye salmon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/05/dams-fish-controversy-june-events.html,blog post,record,url,eng,,
josephy0021,https://josephylibrary.blogspot.com/2018/05/mark-eubanks-recently-brought-me-score.html,Nez Perce Scores,Rich Wandschneider,Rich Wandschneider,,2018-05-24,"Blog entry from May 24, 2018",John Verrall;The Chief Joseph Legend;Nez Perce: Promises;Mark Eubanks Yaacov Bergman;Walla Walla Symphony;Diane Josephy,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/05/mark-eubanks-recently-brought-me-score.html,blog post,record,url,eng,,
josephy0022,https://josephylibrary.blogspot.com/2018/05/what-dna-says.html,What DNA says,Rich Wandschneider,Rich Wandschneider,,2018-05-02,"Blog entry from May 2, 2018",Anglo-American;Germans;American Indians;Manifest Destiny;whiteness;DNA;Scandinavians,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/05/what-dna-says.html,blog post,record,url,eng,,
josephy0023,https://josephylibrary.blogspot.com/2018/04/canoe-notes-4.html,Canoe Notes #4,Rich Wandschneider,Rich Wandschneider,,2018-04-24,"Blog entry from April 24, 2018",dugout canoe;plateau Indian culture;Josephy Center;Allen Pinkham,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/04/canoe-notes-4.html,blog post,record,url,eng,,
josephy0024,https://josephylibrary.blogspot.com/2018/04/doug-hyde-chosen-for-joseph-main-street.html,Doug Hyde chosen for Joseph Main Street Art project,Rich Wandschneider,Rich Wandschneider,,2018-04-12,"Blog entry from April 12, 2018",Oregon Community Foundation;Josephy Center;Creative Heights grant;Doug Hyde;Oregon;Joseph;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/04/doug-hyde-chosen-for-joseph-main-street.html,blog post,record,url,eng,,
josephy0025,https://josephylibrary.blogspot.com/2018/04/white-privilege.html,White Privilege,Rich Wandschneider,Rich Wandschneider,,2018-04-05,"Blog entry from April 5, 2018",Washington D. C. riots;White privilege;national guard;April 1968;whiteness;King assassination,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/04/white-privilege.html,blog post,record,url,eng,,
josephy0026,https://josephylibrary.blogspot.com/2018/03/race-matters-color-matters.html,"Race matters, color matters",Rich Wandschneider,Rich Wandschneider,,2018-03-22,"Blog entry from March 22, 2018",Jackie Robinson story;women and children;racism,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/03/race-matters-color-matters.html,blog post,record,url,eng,,
josephy0027,https://josephylibrary.blogspot.com/2018/03/sherman.html,Sherman,Rich Wandschneider,Rich Wandschneider,,2018-03-12,"Blog entry from March 12, 2018",harassment;Sherman Alexie;assault;Bill Clinton;Indian,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/03/sherman.html,blog post,record,url,eng,,
josephy0028,https://josephylibrary.blogspot.com/2018/02/the-josephy-library.html,The Josephy Library,Rich Wandschneider,Rich Wandschneider,,2018-02-28,"Blog entry from February 28, 2018",Oregon Library Association;Josephy Library;Alvin Josephy,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/02/the-josephy-library.html,blog post,record,url,eng,,
josephy0029,https://josephylibrary.blogspot.com/2018/01/immigration-two-things-to-remember.html,Immigration: two things to remember!,Rich Wandschneider,Rich Wandschneider,,2018-01-28,"Blog entry from January 28, 2018",declaration of independence; immigration; migration;indentured servants; slaves;;American Indians;Mexicans,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/01/immigration-two-things-to-remember.html,blog post,record,url,eng,,
josephy0030,https://josephylibrary.blogspot.com/2018/01/a-better-life-among-indians.html,A Better Life Among the Indians,Rich Wandschneider,Rich Wandschneider,,2018-01-23,"Blog entry from January 23, 2018",Lois Lenski;Seneca;Mary Jemison;Newberry Award;Indian Captive,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/01/a-better-life-among-indians.html,blog post,record,url,eng,,
josephy0031,https://josephylibrary.blogspot.com/2018/01/the-early-assimilationists.html,The Early Assimilationists,Rich Wandschneider,Rich Wandschneider,,2018-01-17,"Blog entry from January 17, 2018",Hellen Hunt Jackson;Pocahontas;Assimilationists;Alvin Josephy;John Rolfe,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/01/the-early-assimilationists.html,blog post,record,url,eng,,
josephy0032,https://josephylibrary.blogspot.com/2017/12/in-mut-too-yah-lat-lat-at-christmas.html,In-mut-too-yah-lat-lat at Christmas,Rich Wandschneider,Rich Wandschneider,,2017-12-24,"Blog entry from December 24, 2017",Christmas Peace;Alvin Josephy;In-mut-too-yah-lat-lat;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/12/in-mut-too-yah-lat-lat-at-christmas.html,blog post,record,url,eng,,
josephy0033,https://josephylibrary.blogspot.com/2017/12/the-indian-way-of-life.html,The Indian Way of Life,Rich Wandschneider,Rich Wandschneider,,2017-12-12,"Blog entry from December 12, 2017",male domination;women's rights;Benjamin Franklin;News of the World;white men;white power,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/12/the-indian-way-of-life.html,blog post,record,url,eng,,
josephy0034,https://josephylibrary.blogspot.com/2017/11/canoes-statues-gifts.html,"Canoes, statues, gifts",Rich Wandschneider,Rich Wandschneider,,2017-11-28,"Blog entry from November 28, 2017",,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/canoes-statues-gifts.html,blog post,record,url,eng,,
josephy0035,https://josephylibrary.blogspot.com/2017/11/canoe-notes-3.html,Canoe notes #3 [2],Rich Wandschneider,Rich Wandschneider,,2017-11-27,"Blog entry from November 27, 2017",dugout canoe;Josephy Center;Allen Pinkham;Nez Perce canoe,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/canoe-notes-3.html,blog post,record,url,eng,,
josephy0036,https://josephylibrary.blogspot.com/2017/11/history-buffs-and-novelists-tell-stories.html,History buffs and novelists tell the stories,Rich Wandschneider,Rich Wandschneider,,2017-11-17,"Blog entry from November 17, 2017",noble savage;Mary Jemison;,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/history-buffs-and-novelists-tell-stories.html,blog post,record,url,eng,,
josephy0037,https://josephylibrary.blogspot.com/2017/11/truth-telling.html,Truth-telling,Rich Wandschneider,Rich Wandschneider,,2017-11-13,"Blog entry from November 13, 2017",Harvey Weinstein;Amos Marsh;racism;sexism;Maxville;Pearl Marsh,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/truth-telling.html,blog post,record,url,eng,,
josephy0038,https://josephylibrary.blogspot.com/2017/10/indians-their-land-and-refugees.html,"Indians, their land, and refugees",Rich Wandschneider,Rich Wandschneider,,2017-10-30,"Blog entry from October 30, 2017",Indian reservations;refugees;refugee crisis;Indian Heritage of America;Alvin Josephy;Kennewick Man;the Ancient One,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/10/indians-their-land-and-refugees.html,blog post,record,url,eng,,
josephy0039,https://josephylibrary.blogspot.com/2017/10/african-americans-and-indians.html,African-Americans and Indians,Rich Wandschneider,Rich Wandschneider,,2017-10-21,"Blog entry from October 21, 2017",TamÃ¡stslikt;Reconstruction;Daniel Sharfstein;General Howard;assimilation;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/10/african-americans-and-indians.html,blog post,record,url,eng,,
josephy0040,https://josephylibrary.blogspot.com/2017/10/ken-burns-and-americans.html,Ken Burns and 'The Americans',Rich Wandschneider,Rich Wandschneider,,2017-10-02,"Blog entry from October 2, 2017",NMAI;American Indian Magazine;Pontiac;Hollow Horn Bear;Ken Burns;Plymouth colony;Custer,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/10/ken-burns-and-americans.html,blog post,record,url,eng,,
josephy0041,https://josephylibrary.blogspot.com/2017/09/manifest-destiny-and-white-identity.html,Manifest Destiny and white identity,Rich Wandschneider,Rich Wandschneider,,2017-09-22,"Blog entry from September 22, 2017",Anglo-American;GI Bill;Civil Rights;Richard White;world war 2;Alvin Josephy;white identity;Manifest Destiny;military integration,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/09/manifest-destiny-and-white-identity.html,blog post,record,url,eng,,
josephy0042,https://josephylibrary.blogspot.com/2017/09/canoe-notes-3.html,Canoe notes #3,Rich Wandschneider,Rich Wandschneider,,2017-09-01,"Blog entry from September 1, 2017",dugout canoe;Josephy Center;Allen Pinkham;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/09/canoe-notes-3.html,blog post,record,url,eng,,
josephy0043,https://josephylibrary.blogspot.com/2017/08/friendship-and-freedom-indian-and-white.html,Friendship and freedom; Indian and White,Rich Wandschneider,Rich Wandschneider,,2017-08-30,"Blog entry from August 30, 2017",Daniel Sharfstein;Nespelem;General Howard;Nez Perce;Thunder in the Mountains;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/08/friendship-and-freedom-indian-and-white.html,blog post,record,url,eng,,
josephy0044,https://josephylibrary.blogspot.com/2017/08/eli-parker-and-robert-e-lee-at.html,Eli Parker and Robert E. Lee at Appomattox,Rich Wandschneider,Rich Wandschneider,,2017-08-19,"Blog entry from August 19, 2017",Appomattox. Robert E. Lee;Eli Parker;Alvin Josephy;Ulysses S. GrantUl;Mark Trahant,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/08/eli-parker-and-robert-e-lee-at.html,blog post,record,url,eng,,
josephy0045,https://josephylibrary.blogspot.com/2017/08/jfk-on-indians.html,JFK on Indians,Rich Wandschneider,Rich Wandschneider,,2017-08-09,"Blog entry from August 9, 2017",president Kennedy;American Heritage Book of Indians;Alvin Josephy;JFK,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/08/jfk-on-indians.html,blog post,record,url,eng,,
josephy0046,https://josephylibrary.blogspot.com/2017/08/canoe-notes-2.html,Canoe notes #2,Rich Wandschneider,Rich Wandschneider,,2017-08-04,"Blog entry from August 4, 2017",American Heritage Book of Indians;Josephy;Allen Pinkham;las casas;Nez Perce canoe;de Oviedo,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/08/canoe-notes-2.html,blog post,record,url,eng,,
josephy0047,https://josephylibrary.blogspot.com/2017/07/canoe-notes-1.html,Canoe notes #1,Rich Wandschneider,Rich Wandschneider,,2017-07-31,"Blog entry from July 31, 2017",Nez Perce National Park;Dugout canoe; lewis and clark;Josephy Center;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/07/canoe-notes-1.html,blog post,record,url,eng,,
josephy0048,https://josephylibrary.blogspot.com/2017/07/civil-rights-treaty-rights.html,"Civil Rights, Treaty Rights",Rich Wandschneider,Rich Wandschneider,,2017-07-21,"Blog entry from July 21, 2017",Northwest fish wars;Alvin Josephy;Standing Rock;Boldt decision;Indian treaties;Marlon Brando,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/07/civil-rights-treaty-rights.html,blog post,record,url,eng,,
josephy0049,https://josephylibrary.blogspot.com/2017/07/everyone-reads-josephy-in-1969.html,Everyone Reads' Josephy in 1969!,Rich Wandschneider,Rich Wandschneider,,2017-07-10,"Blog entry from July 10, 2017",Western Reads;'The Right to Be Indian';Patriot Chiefs;Randy Lewis;Western Washington University,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/07/everyone-reads-josephy-in-1969.html,blog post,record,url,eng,,
josephy0050,https://josephylibrary.blogspot.com/2017/07/the-fourth-of-julya-difficult-dance-for.html,The Fourth of July—a difficult dance for Indians,Rich Wandschneider,Rich Wandschneider,,2017-07-03,"Blog entry from July 3, 2017",Indian Religious Crimes Code;Fourth of July;Nez Perce Tribe;Lewiston Tribune,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/07/the-fourth-of-julya-difficult-dance-for.html,blog post,record,url,eng,,
josephy0051,https://josephylibrary.blogspot.com/2017/06/some-thoughts-on-new-racism.html,Some thoughts on the new racism,Rich Wandschneider,Rich Wandschneider,,2017-06-30,"Blog entry from June 30, 2017",Anglo-American;WW 2;racism;American ethnicity;Manifest Destiny;Great migration;integration of military,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/06/some-thoughts-on-new-racism.html,blog post,record,url,eng,,
josephy0052,https://josephylibrary.blogspot.com/2017/06/indians-african-americans-and.html,"Indians, African Americans, and the Persistence of Racism in America",Rich Wandschneider,Rich Wandschneider,,2017-06-23,"Blog entry from June 23, 2017",Sherman Alexie;Standing Rock;lynchings;Treaty Rights;Lonnie Bunch;Museum of African American History and Culture,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/06/indians-african-americans-and.html,blog post,record,url,eng,,
josephy0053,https://josephylibrary.blogspot.com/2017/06/baby-boxes-and-cradleboards.html,Baby Boxes and Cradleboards,Rich Wandschneider,Rich Wandschneider,,2017-06-19,"Blog entry from June 19, 2017",Finnish baby box; swaddling clothes;cradleboard;New Jersey baby box program;baby boxes,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/06/baby-boxes-and-cradleboards.html,blog post,record,url,eng,,
josephy0054,https://josephylibrary.blogspot.com/2017/06/the-josephy-library-at-josephy-center.html,The Josephy Library at the Josephy Center,Rich Wandschneider,Rich Wandschneider,,2017-06-14,"Blog entry from June 14, 2017",Joseph Oregon;Josephy Library;Alvin Josephy,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/06/the-josephy-library-at-josephy-center.html,blog post,record,url,eng,,
josephy0055,https://josephylibrary.blogspot.com/2017/06/misunderstanding-indians.html,Misunderstanding Indians,Rich Wandschneider,Rich Wandschneider,,2017-06-05,"Blog entry from June 5, 2017",boarding schools;land ownership;Allen Pinkham;Indian agriculture;treaty terms,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/06/misunderstanding-indians.html,blog post,record,url,eng,,
josephy0056,https://josephylibrary.blogspot.com/2017/05/race-in-america.html,Race in America,Rich Wandschneider,Rich Wandschneider,,2017-05-31,"Blog entry from May 31, 2017",The Other Slavery;Freemen's Bureau;Civil War;Reconstruction;Daniel Sharfstein;California genocide;General Howard;Nez Perce War;Chief Joseph;forty acres and a mule,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/05/race-in-america.html,blog post,record,url,eng,,
josephy0057,https://josephylibrary.blogspot.com/2017/05/bears-ears-standing-rock-indians-and.html,"Bears Ears, Standing Rock, Indians and the Press",Rich Wandschneider,Rich Wandschneider,,2017-05-09,"Blog entry from May 9, 2017",National monument;Bears Ears. Terry Tempest Williams;Standing Rock;Coyote Warrior,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/05/bears-ears-standing-rock-indians-and.html,blog post,record,url,eng,,
josephy0058,https://josephylibrary.blogspot.com/2017/04/osage-and-lucky-to-be-here.html,Osage—and Lucky to be Here,Rich Wandschneider,Rich Wandschneider,,2017-04-27,"Blog entry from April 27, 2017",Fishtrap;Oklahoma Indians;Maria Tallchief;Osage Indians;Sandra Osawa;osage murders;David Grann;Elise Paschen;Killers of the Flower Moon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/osage-and-lucky-to-be-here.html,blog post,record,url,eng,,
josephy0059,https://josephylibrary.blogspot.com/2017/04/indian-art-is-american-art.html,Indian Art is American Art,Rich Wandschneider,Rich Wandschneider,,2017-04-19,"Blog entry from April 19, 2017",Metropolitan Museum of Art;Charles and Valerie Diker;500 nations;Rindisbacher;Alvin Josephy;Maria and Julian Martinez;MET,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/indian-art-is-american-art.html,blog post,record,url,eng,,
josephy0060,https://josephylibrary.blogspot.com/2017/04/another-nez-perce-book-oregon-public.html,Another Nez Perce book,Rich Wandschneider,Rich Wandschneider,,2017-04-13,"Blog entry from April 13, 2017",Freedmen's Bureau;William Clark;Daytime Smoke;David Osborne;O.O. Howard;Daniel Sharfstein;Thunder in the Mountains;Nez Perce War;Chief Joseph;Think out loud,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/another-nez-perce-book-oregon-public.html,blog post,record,url,eng,,
josephy0061,https://josephylibrary.blogspot.com/2017/04/so-president-lied.html,So the President lied?,Rich Wandschneider,Rich Wandschneider,,2017-04-07,"Blog entry from April 7, 2017",Old Joseph;Smithsonian Magazine;Sioux;Lakota;Treaty of 1855;Presidential lies;Ulysses S. Grant;Nez Perce;Custer;President Grant,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/04/so-president-lied.html,blog post,record,url,eng,,
josephy0062,https://josephylibrary.blogspot.com/2017/03/its-water.html,It's the Water!,Rich Wandschneider,Rich Wandschneider,,2017-03-17,"Blog entry from March 17, 2017",dugout canoe;Dr. Loren Davis;Bob Chenoweth;Nez Perce Park;Allen Pinkham;Wallowology;Lewis and Clark;Nez Perce Fisheries,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/03/its-water.html,blog post,record,url,eng,,
josephy0063,https://josephylibrary.blogspot.com/2017/03/the-great-white-father.html,The Great White Father,Rich Wandschneider,Rich Wandschneider,,2017-03-08,"Blog entry from March 8, 2017",executive order;North Dakota;Dakota Access;Great White Father;David Osborne;Alvin Josephy;Bismarck;Standing Rock;Pawnee lawsuit,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/03/the-great-white-father.html,blog post,record,url,eng,,
josephy0064,https://josephylibrary.blogspot.com/2017/03/two-world-war-ii-heroes.html,Two World War II Heroes,Rich Wandschneider,Rich Wandschneider,,2017-03-01,"Blog entry from March 1, 2017",Gwen Coffin;Japanese internment;Richard White;Jean Wakatsuki Houston;Alvin Josephy;Manzanar;Wallowa County Chieftain;Executive order 9066,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/03/two-world-war-ii-heroes.html,blog post,record,url,eng,,
josephy0065,https://josephylibrary.blogspot.com/2017/02/continuring-outrage-over-standing-rock.html,Continuing outrage over Standing Rock,Rich Wandschneider,Rich Wandschneider,,2017-02-16,"Blog entry from February 16, 2017",New York Times;Jill Turkewitz;Standting Rock;Alvin Josephy,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/02/continuring-outrage-over-standing-rock.html,blog post,record,url,eng,,
josephy0066,https://josephylibrary.blogspot.com/2017/02/before-alvin-wrote-about-indians-denigs.html,Before Alvin wrote about Indians—Denig's Demons,Rich Wandschneider,Rich Wandschneider,,2017-02-15,"Blog entry from February 15, 2017",BGen Robert Denig;Denig's Demons;Leatherneck Magazine;Alvin Josephy;US Marines,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/02/before-alvin-wrote-about-indians-denigs.html,blog post,record,url,eng,,
josephy0067,https://josephylibrary.blogspot.com/2017/02/standing-rock-outrage.html,Standing Rock Outrage!,Rich Wandschneider,Rich Wandschneider,,2017-02-08,"Blog entry from February 8, 2017",Custer Battlefield;Dakota Access;Wounded Knee;Little Big Man;Alvin Josephy;Standing Rock;Dave Archambault;Julie Turkewitz;Standing Rock Sioux,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/02/standing-rock-outrage.html,blog post,record,url,eng,,
